group,date,site,coral.head,depth,head.area.cm2,head.area.m2,c.personatus,c.glaucofraenum,s.planifrons.juv,elacatinus.spp,h.bivittatus,p.volitans,h.puella,h.nigricans,c.cruentatus,s.adustus,s.variablis,s.partitus,pomacanthus.spp,s.planifrons,a.bahianus,a.townsendi,c.rostrata,s.iserti,s.diencaeus,c.capistratus
Meg and Jo,2/2/15,Punta Caracol,1,NA,4000,0.4,80,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Meg and Jo,2/2/15,Punta Caracol,2,NA,23750,2.375,84,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Meg and Jo,2/2/15,Punta Caracol,3,NA,13050,1.305,112,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Meg and Jo,2/2/15,Punta Caracol,4,NA,34000,3.4,224,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2
Meg and Jo,2/2/15,Punta Caracol,5,NA,11550,1.155,48,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kelsey and Jazz,2/2/15,Casa Blanca,1,25,7200,0.72,45,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Kelsey and Jazz,2/2/15,Casa Blanca,2,34,26250,2.625,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kelsey and Jazz,2/2/15,Casa Blanca,3,29,16800,1.68,120,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kelsey and Jazz,2/2/15,Casa Blanca,4,28,6375,0.6375,130,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kelsey and Jazz,2/2/15,Casa Blanca,5,26,7500,0.75,180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kelsey and Jazz,2/2/15,Casa Blanca,6,25,30600,3.06,230,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Kelsey and Jazz,2/2/15,Casa Blanca,7,19,12350,1.235,51,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Kelsey and Jazz,2/2/15,Casa Blanca,8,21,44200,4.42,280,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2,0,0
Kelsey and Jazz,2/2/15,Casa Blanca,9,20,14250,1.425,250,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0
Kelsey and Jazz,2/2/15,Casa Blanca,10,18,10500,1.05,175,1,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,1,0,0
Kelsey and Jazz,2/2/15,Casa Blanca,11,24,15600,1.56,330,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kelsi and Katie,2/3/15,Casa Verde,1,20,4928,0.4928,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kelsi and Katie,2/3/15,Casa Verde,2,20,3570,0.357,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kelsi and Katie,2/3/15,Casa Verde,3,17,13750,1.375,44,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
Kelsi and Katie,2/3/15,Casa Verde,4,17,7500,0.75,37,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0
Kelsi and Katie,2/3/15,Casa Verde,5,17,8640,0.864,24,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Kelsi and Katie,2/3/15,Casa Verde,6,14,17400,1.74,121,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Kelsi and Katie,2/3/15,Casa Verde,7,7,24750,2.475,15,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Kelsi and Katie,2/3/15,Casa Verde,8,11,9900,0.99,22,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0
